광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
서울특별시,종로구,종로구 일원 [1],1,더불어민주당,이낙연,李洛淵,54902,58.38,1.0,True,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],2,미래통합당,황교안,黃敎安,37594,39.97,2.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],7,우리공화당,한민호,韓民鎬,417,0.44,3.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],8,민중당,오인환,吳璘煥,276,0.29,4.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],9,가자!평화인권당,이정희,李貞嬉,139,0.14,7.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],10,공화당,신동욱,申東旭,57,0.06,11.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],11,국가혁명배당금당,박준영,朴俊榮,194,0.2,6.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],12,국민새정당,백병찬,白秉贊,65,0.06,9.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],13,기독자유통일당,양세화,梁世和,0,0.0,,False,True,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],14,민중민주당,박소현,朴炤炫,63,0.06,10.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],15,한나라당,김형석,金亨錫,71,0.07,8.0,False,False,134516,95239,1201
서울특별시,종로구,종로구 일원 [1],16,무소속,김용덕,金龍德,260,0.27,5.0,False,False,134516,95239,1201
서울특별시,중구·성동구 갑,"성동구 금호동, 옥수동을 제외한 지역  [3]",1,더불어민주당,홍익표,洪翼杓,70387,54.25,1.0,True,False,192161,131200,1455
서울특별시,중구·성동구 갑,"성동구 금호동, 옥수동을 제외한 지역  [3]",2,미래통합당,진수희,陳壽姬,53107,40.93,2.0,False,False,192161,131200,1455
서울특별시,중구·성동구 갑,"성동구 금호동, 옥수동을 제외한 지역  [3]",6,정의당,정혜연,鄭惠然,5465,4.21,3.0,False,False,192161,131200,1455
서울특별시,중구·성동구 갑,"성동구 금호동, 옥수동을 제외한 지역  [3]",7,국가혁명배당금당,이정섭,李廷燮,786,0.6,4.0,False,False,192161,131200,1455
서울특별시,중구·성동구 을,"중구 일원 + 성동구 금호1가동, 금호2·3가동, 금호4가동, 옥수동",1,더불어민주당,박성준,朴省俊,64071,51.96,1.0,True,False,183779,124700,1392
서울특별시,중구·성동구 을,"중구 일원 + 성동구 금호1가동, 금호2·3가동, 금호4가동, 옥수동",2,미래통합당,지상욱,池尙昱,58300,47.27,2.0,False,False,183779,124700,1392
서울특별시,중구·성동구 을,"중구 일원 + 성동구 금호1가동, 금호2·3가동, 금호4가동, 옥수동",7,국가혁명배당금당,이주양,李柱養,937,0.75,3.0,False,False,183779,124700,1392
서울특별시,용산구,용산구 일원 [4],1,더불어민주당,강태웅,姜泰雄,63001,47.14,2.0,False,False,203233,135043,1400
서울특별시,용산구,용산구 일원 [4],2,미래통합당,권영세,權寧世,63891,47.8,1.0,True,False,203233,135043,1400
서울특별시,용산구,용산구 일원 [4],3,민생당,권혁문,權赫文,1311,0.98,4.0,False,False,203233,135043,1400
서울특별시,용산구,용산구 일원 [4],6,정의당,정연욱,鄭然旭,4251,3.18,3.0,False,False,203233,135043,1400
서울특별시,용산구,용산구 일원 [4],7,민중당,김은희,金恩姬,648,0.48,5.0,False,False,203233,135043,1400
서울특별시,용산구,용산구 일원 [4],8,국가혁명배당금당,김희전,金喜奠,541,0.4,6.0,False,False,203233,135043,1400
