광역자치단체명,기호,정당명,득표수,득표율,전체유권자수,전체투표수,전체무효표수
서울특별시,3,민생당,135434,2.43,8477244,5775433,213102
서울특별시,4,미래한국당,1841544,33.1,8477244,5775433,213102
서울특별시,5,더불어시민당,1846902,33.2,8477244,5775433,213102
서울특별시,6,정의당,541583,9.73,8477244,5775433,213102
서울특별시,7,우리공화당,34314,0.61,8477244,5775433,213102
서울특별시,8,민중당,38847,0.69,8477244,5775433,213102
서울특별시,9,한국경제당,6598,0.11,8477244,5775433,213102
서울특별시,10,국민의당,459479,8.26,8477244,5775433,213102
서울특별시,11,친박신당,20975,0.37,8477244,5775433,213102
서울특별시,12,열린민주당,327109,5.88,8477244,5775433,213102
서울특별시,13,가자코리아,4324,0.07,8477244,5775433,213102
서울특별시,14,가자!평화인권당,1305,0.02,8477244,5775433,213102
서울특별시,15,가자환경당,1690,0.03,8477244,5775433,213102
서울특별시,16,국가혁명배당금당,31826,0.57,8477244,5775433,213102
서울특별시,17,국민새정당,1846,0.03,8477244,5775433,213102
서울특별시,18,국민참여신당,2559,0.04,8477244,5775433,213102
서울특별시,19,기독자유통일당,106464,1.91,8477244,5775433,213102
서울특별시,20,깨어있는시민연대당,2242,0.04,8477244,5775433,213102
서울특별시,21,남북통일당,1497,0.02,8477244,5775433,213102
서울특별시,22,노동당,3960,0.07,8477244,5775433,213102
서울특별시,23,녹색당,15180,0.27,8477244,5775433,213102
서울특별시,24,대한당,522,0.0,8477244,5775433,213102
서울특별시,25,대한민국당,2297,0.04,8477244,5775433,213102
서울특별시,26,미래당,12686,0.22,8477244,5775433,213102
서울특별시,27,미래민주당,11116,0.19,8477244,5775433,213102
서울특별시,28,새누리당,13222,0.23,8477244,5775433,213102
서울특별시,29,여성의당,58011,1.04,8477244,5775433,213102
서울특별시,30,우리당,973,0.01,8477244,5775433,213102
서울특별시,31,자유당,2876,0.05,8477244,5775433,213102
서울특별시,32,자유의새벽당,22652,0.4,8477244,5775433,213102
서울특별시,33,중소자영업당,3348,0.06,8477244,5775433,213102
서울특별시,34,충청의미래당,1054,0.01,8477244,5775433,213102
서울특별시,35,통일민주당,2155,0.03,8477244,5775433,213102
서울특별시,36,한국복지당,2460,0.04,8477244,5775433,213102
서울특별시,37,홍익당,3281,0.05,8477244,5775433,213102
부산광역시,3,민생당,41614,2.17,2958290,2001838,89855
부산광역시,4,미래한국당,836599,43.75,2958290,2001838,89855
부산광역시,5,더불어시민당,543474,28.42,2958290,2001838,89855
부산광역시,6,정의당,140822,7.36,2958290,2001838,89855
부산광역시,7,우리공화당,15048,0.78,2958290,2001838,89855
부산광역시,8,민중당,14405,0.75,2958290,2001838,89855
부산광역시,9,한국경제당,3046,0.15,2958290,2001838,89855
부산광역시,10,국민의당,118570,6.2,2958290,2001838,89855
부산광역시,11,친박신당,9681,0.5,2958290,2001838,89855
부산광역시,12,열린민주당,87965,4.6,2958290,2001838,89855
부산광역시,13,가자코리아,2210,0.11,2958290,2001838,89855
부산광역시,14,가자!평화인권당,590,0.03,2958290,2001838,89855
부산광역시,15,가자환경당,720,0.03,2958290,2001838,89855
부산광역시,16,국가혁명배당금당,15878,0.83,2958290,2001838,89855
부산광역시,17,국민새정당,723,0.03,2958290,2001838,89855
부산광역시,18,국민참여신당,964,0.05,2958290,2001838,89855
부산광역시,19,기독자유통일당,30465,1.59,2958290,2001838,89855
부산광역시,20,깨어있는시민연대당,882,0.04,2958290,2001838,89855
부산광역시,21,남북통일당,660,0.03,2958290,2001838,89855
부산광역시,22,노동당,1907,0.09,2958290,2001838,89855
부산광역시,23,녹색당,3579,0.19,2958290,2001838,89855
부산광역시,24,대한당,317,0.01,2958290,2001838,89855
부산광역시,25,대한민국당,1252,0.06,2958290,2001838,89855
부산광역시,26,미래당,4905,0.25,2958290,2001838,89855
부산광역시,27,미래민주당,4127,0.21,2958290,2001838,89855
부산광역시,28,새누리당,5592,0.29,2958290,2001838,89855
부산광역시,29,여성의당,12169,0.63,2958290,2001838,89855
부산광역시,30,우리당,425,0.02,2958290,2001838,89855
부산광역시,31,자유당,1410,0.07,2958290,2001838,89855
부산광역시,32,자유의새벽당,6913,0.36,2958290,2001838,89855
부산광역시,33,중소자영업당,1236,0.06,2958290,2001838,89855
부산광역시,34,충청의미래당,217,0.01,2958290,2001838,89855
부산광역시,35,통일민주당,1016,0.05,2958290,2001838,89855
부산광역시,36,한국복지당,1196,0.06,2958290,2001838,89855
부산광역시,37,홍익당,1406,0.04,2958290,2001838,89855
대구광역시,3,민생당,19805,1.48,2071120,1387494,53806
대구광역시,4,미래한국당,730775,54.79,2071120,1387494,53806
대구광역시,5,더불어시민당,216496,16.23,2071120,1387494,53806
대구광역시,6,정의당,84986,6.37,2071120,1387494,53806
대구광역시,7,우리공화당,23828,1.78,2071120,1387494,53806
대구광역시,8,민중당,6769,0.5,2071120,1387494,53806
대구광역시,9,한국경제당,3455,0.25,2071120,1387494,53806
대구광역시,10,국민의당,115416,8.65,2071120,1387494,53806
대구광역시,11,친박신당,9287,0.69,2071120,1387494,53806
대구광역시,12,열린민주당,40487,3.03,2071120,1387494,53806
대구광역시,13,가자코리아,1755,0.13,2071120,1387494,53806
대구광역시,14,가자!평화인권당,388,0.02,2071120,1387494,53806
대구광역시,15,가자환경당,378,0.02,2071120,1387494,53806
대구광역시,16,국가혁명배당금당,11627,0.87,2071120,1387494,53806
대구광역시,17,국민새정당,524,0.03,2071120,1387494,53806
대구광역시,18,국민참여신당,746,0.05,2071120,1387494,53806
대구광역시,19,기독자유통일당,27418,2.05,2071120,1387494,53806
대구광역시,20,깨어있는시민연대당,560,0.04,2071120,1387494,53806
